Date,Open,High,Low,Close,Volume
9/8/2020,113.95,118.99,112.68,112.82,"231,366,594"
9/9/2020,117.26,119.14,115.26,117.32,"176,940,500"
9/10/2020,120.36,120.5,112.5,113.49,"182,274,406"
9/11/2020,114.57,115.23,110,112,"180,860,297"
9/14/2020,114.72,115.93,112.8,115.36,"140,150,094"
9/15/2020,118.33,118.83,113.61,115.54,"184,642,000"
9/16/2020,115.23,116,112.04,112.13,"155,026,703"
9/17/2020,109.72,112.2,108.71,110.34,"178,011,016"
9/18/2020,110.4,110.88,106.09,106.84,"287,104,906"
9/21/2020,104.54,110.19,103.1,110.08,"195,713,797"
9/22/2020,112.68,112.86,109.16,111.81,"183,055,391"
9/23/2020,111.62,112.11,106.77,107.12,"150,718,703"
9/24/2020,105.17,110.25,105,108.22,"167,743,297"
9/25/2020,108.43,112.44,107.67,112.28,"149,981,406"
9/28/2020,115.01,115.32,112.78,114.96,"137,672,406"
9/29/2020,114.55,115.31,113.57,114.09,"100,060,492"
9/30/2020,113.79,117.26,113.62,115.81,"142,675,203"
10/1/2020,117.64,117.72,115.83,116.79,"116,120,398"
10/2/2020,112.89,115.37,112.22,113.02,"144,712,000"
10/5/2020,113.91,116.65,113.55,116.5,"106,243,797"
10/6/2020,115.7,116.12,112.25,113.16,"161,498,203"
10/7/2020,114.62,115.55,114.13,115.08,"96,848,992"
10/8/2020,116.25,116.4,114.59,114.97,"83,477,148"
10/9/2020,115.28,117,114.92,116.97,"100,506,898"
10/12/2020,120.06,125.18,119.28,124.4,"240,226,797"
10/13/2020,125.27,125.39,119.65,121.1,"262,330,500"
10/14/2020,121,123.03,119.62,121.19,"151,062,297"
10/15/2020,118.72,121.2,118.15,120.71,"112,559,203"
10/16/2020,121.28,121.55,118.81,119.02,"115,393,797"
10/19/2020,119.96,120.42,115.66,115.98,"120,639,297"
10/20/2020,116.2,118.98,115.63,117.51,"124,423,695"
10/21/2020,116.67,118.71,116.45,116.87,"89,945,984"
10/22/2020,117.45,118.04,114.59,115.75,"101,988,000"
10/23/2020,116.39,116.55,114.28,115.04,"82,572,648"
10/26/2020,114.01,116.55,112.88,115.05,"111,850,703"
10/27/2020,115.49,117.28,114.54,116.6,"92,276,766"
10/28/2020,115.05,115.43,111.1,111.2,"143,937,797"
10/29/2020,112.37,116.93,112.2,115.32,"146,129,203"
10/30/2020,111.06,111.99,107.72,108.86,"190,573,500"
11/2/2020,109.11,110.68,107.32,108.77,"122,866,898"
11/3/2020,109.66,111.49,108.73,110.44,"107,624,398"
11/4/2020,114.14,115.59,112.35,114.95,"138,235,500"
11/5/2020,117.95,119.62,116.87,119.03,"126,387,102"
11/6/2020,118.32,119.2,116.13,118.69,"114,457,906"
11/9/2020,120.5,121.99,116.05,116.32,"154,515,297"
11/10/2020,115.55,117.59,114.13,115.97,"138,023,391"
11/11/2020,117.19,119.63,116.44,119.49,"112,295,000"
11/12/2020,119.62,120.53,118.57,119.21,"103,350,703"
11/13/2020,119.44,119.67,117.87,119.26,"81,688,594"
11/16/2020,118.92,120.99,118.15,120.3,"91,183,023"
11/17/2020,119.55,120.67,118.96,119.39,"74,270,969"
11/18/2020,118.61,119.82,118,118.03,"76,322,109"
11/19/2020,117.59,119.06,116.81,118.64,"74,112,969"
11/20/2020,118.64,118.77,117.29,117.34,"73,604,289"
11/23/2020,117.18,117.62,113.75,113.85,"127,959,297"
11/24/2020,113.91,115.85,112.59,115.17,"113,874,203"
11/25/2020,115.55,116.75,115.17,116.03,"76,499,234"
11/27/2020,116.57,117.49,116.22,116.59,"46,691,328"
11/30/2020,116.97,120.97,116.81,119.05,"169,410,203"
12/1/2020,121.01,123.47,120.01,122.72,"128,166,797"
12/2/2020,122.02,123.37,120.89,123.08,"89,004,203"
12/3/2020,123.52,123.78,122.21,122.94,"78,967,633"
12/4/2020,122.6,122.86,121.52,122.25,"78,260,414"
12/7/2020,122.31,124.57,122.25,123.75,"86,711,992"
12/8/2020,124.37,124.98,123.09,124.38,"82,225,516"
12/9/2020,124.53,125.95,121,121.78,"115,089,203"
12/10/2020,120.5,123.87,120.15,123.24,"81,312,172"
12/11/2020,122.43,122.76,120.55,122.41,"86,939,789"
12/14/2020,122.6,123.35,121.54,121.78,"79,075,992"
12/15/2020,124.34,127.9,124.13,127.88,"157,572,297"
12/16/2020,127.41,128.37,126.56,127.81,"98,208,594"
12/17/2020,128.9,129.58,128.05,128.7,"94,359,805"
12/18/2020,128.96,129.1,126.12,126.66,"192,541,500"
12/21/2020,125.02,128.31,123.45,128.23,"121,251,602"
12/22/2020,131.61,134.41,129.65,131.88,"169,351,812"
12/23/2020,132.16,132.43,130.78,130.96,"88,223,688"
12/24/2020,131.32,133.46,131.1,131.97,"54,930,059"
12/28/2020,133.99,137.34,133.51,136.69,"124,486,203"
12/29/2020,138.05,138.79,134.34,134.87,"121,047,297"
12/30/2020,135.58,135.99,133.4,133.72,"96,452,117"
12/31/2020,134.08,134.74,131.72,132.69,"99,116,594"
1/4/2021,133.52,133.61,126.76,129.41,"143,301,906"
1/5/2021,128.89,131.74,128.43,131.01,"97,664,898"
1/6/2021,127.72,131.05,126.38,126.6,"155,088,000"
1/7/2021,128.36,131.63,127.86,130.92,"109,578,203"
1/8/2021,132.43,132.63,130.23,132.05,"105,158,203"
1/11/2021,129.19,130.17,128.5,128.98,"100,620,898"
1/12/2021,128.5,129.69,126.86,128.8,"91,951,148"
1/13/2021,128.76,131.45,128.49,130.89,"88,636,828"
1/14/2021,130.8,131,128.76,128.91,"90,221,758"
1/15/2021,128.78,130.22,127,127.14,"111,598,492"
1/19/2021,127.78,128.71,126.94,127.83,"90,757,328"
1/20/2021,128.66,132.49,128.55,132.03,"104,319,508"
1/21/2021,133.8,139.67,133.59,136.87,"120,529,508"
1/22/2021,136.28,139.85,135.02,139.07,"114,459,398"
1/25/2021,143.07,145.09,136.54,142.92,"157,611,703"
1/26/2021,143.6,144.3,141.37,143.16,"98,390,562"
1/27/2021,143.43,144.3,140.41,142.06,"140,843,812"
1/28/2021,139.52,141.99,136.7,137.09,"142,621,109"
1/29/2021,135.83,136.74,130.21,131.96,"177,523,812"
2/1/2021,133.75,135.38,130.93,134.14,"106,239,797"
2/2/2021,135.73,136.31,134.61,134.99,"83,305,367"
2/3/2021,135.76,135.77,133.61,133.94,"89,880,945"
2/4/2021,136.3,137.4,134.59,137.39,"84,183,055"
2/5/2021,137.35,137.42,135.86,136.76,"75,693,828"
2/8/2021,136.03,136.96,134.92,136.91,"71,297,211"
